공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
해오름어린이공원,어린이공원,경기도 군포시 당동 908-2,경기도 군포시 군포로476번길 58-12,37.3482305,126.9473343,4117,,,,,,1999-03-04,군포시청,031-390-0734,2018-08-27
샛터말어린이공원,어린이공원,경기도 군포시 당동 982-3,경기도 군포시 당동 982-3,37.345505,126.9382805,2191,,,,,,1999-03-04,군포시청,031-390-0734,2018-08-27
신기어린이공원,어린이공원,경기도 군포시 당동 874-1,경기도 군포시 당동 874-1,37.3427564,126.9408558,1500,,,,,,1994-09-08,군포시청,031-390-0734,2018-08-27
노루목어린이공원,어린이공원,경기도 군포시 산본동 80-3,경기도 군포시 고산로724번길 16,37.373199,126.938312,1771,,,,,,1988-12-31,군포시청,031-390-0734,2018-08-27
바위백이어린이공원,어린이공원,경기도 군포시 산본동 242,경기도 군포시 군포로735번길 15-4,37.370462,126.9425771,1500,,,,,,1993-06-25,군포시청,031-390-0734,2018-08-27
을지어린이공원,어린이공원,경기도 군포시 산본동 1145-13,경기도 군포시 산본동 1145-13,37.3567581,126.9274534,1538,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
율곡어린이공원,어린이공원,경기도 군포시 금정동 876-1,경기도 군포시 금정동 876-1,37.3541624,126.9321784,1500,,,,,,1991-11-15,군포시청,031-390-0734,2018-08-27
퇴계어린이공원,어린이공원,경기도 군포시 금정동 875-3,경기도 군포시 광정로 25-20,37.3533467,126.930152,1500,,,,,,1991-11-15,군포시청,031-390-0734,2018-08-27
샘들어린이공원,어린이공원,경기도 군포시 당동 882 번지 일원,경기도 군포시 당동 882 번지 일원,37.3422026,126.9433796,1850,,,,,,1994-09-08,군포시청,031-390-0734,2018-08-27
소월어린이공원,어린이공원,경기도 군포시 금정동 871-9,경기도 군포시 오금로 34,37.3513694,126.9325014,1598,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
다산어린이공원,어린이공원,경기도 군포시 금정동 871-15,경기도 군포시 금정동 871-15,37.3501357,126.9306967,1500,,,,,,1991-11-15,군포시청,031-390-0734,2018-08-27
당거리어린이공원,어린이공원,경기도 군포시 당동 968-2,경기도 군포시 당동 968-2,37.345019,126.9393192,1513,,,,,,1999-03-04,군포시청,031-390-0734,2018-08-27
한얼어린이공원,어린이공원,경기도 군포시 산본동 210,경기도 군포시 산본동 210,37.3625858,126.9332319,3149,,,,,,2005-10-24,군포시청,031-390-0734,2018-08-27
안금정어린이공원,어린이공원,경기도 군포시 금정동 724-6,경기도 군포시 금산로6번길 21,37.3638808,126.941741,2502,,,,,,1993-06-09,군포시청,031-390-0734,2018-08-27
당골어린이공원,어린이공원,경기도 군포시 당동 873-2,경기도 군포시 당동 873-2,37.3440904,126.9418885,1500,,,,,,1994-09-08,군포시청,031-390-0734,2018-08-27
달님어린이공원,어린이공원,경기도 군포시 당정동 967-4,경기도 군포시 당정동 967-4,37.3471738,126.9543504,1728,,,,,,1999-03-07,군포시청,031-390-0734,2018-08-27
산마루어린이공원,어린이공원,경기도 군포시 부곡동 1216,경기도 군포시 부곡동 1216,37.3376494,126.9341658,1901,,,,,,2006-12-07,군포시청,031-390-0734,2018-08-27
체육공원1(당동2지구),체육공원,경기도 군포시 부곡동 1226번지 일원,경기도 군포시 부곡동 1226번지 일원,37.3392072,126.9356134,80673,,,,,,2006-12-07,군포시청,031-390-0734,2018-08-27
덕고개소공원(속달지구),소공원,경기도 군포시 속달동 232-3번지,경기도 군포시 속달로206번길 4,37.3407681,126.9041268,1298,,,,,,2008-02-04,군포시청,031-390-0734,2018-08-27
한얼공원,근린공원,경기도 군포시 금정동 844-1번지 일원,경기도 군포시 청백리길 18,37.3625858,126.9332319,150334,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
소공원6(당정지구),소공원,경기도 군포시 당정동 27-3번지,경기도 군포시 경수대로 453,37.3630337,126.9591225,3173,,,,,,2010-09-09,군포시청,031-390-0734,2018-08-27
소공원9(대영지구),소공원,경기도 군포시 당정동 352-13번지,경기도 군포시 당정동 352-13번지,37.3530349,126.956374,1066,,,,,,2010-03-24,군포시청,031-390-0734,2018-08-27
반월천수변공원,수변공원,경기도 군포시 속달동 399번지 일원,경기도 군포시 속달동 399번지 일원,37.3379001,126.892557,54560,,,,,,2009-01-29,군포시청,031-390-0734,2018-08-27
느티울공원,근린공원,경기도 군포시 금정동 875-10번지 일원,경기도 군포시 금정동 875-10번지 일원,37.3542285,126.9282369,13263,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
당정2공원,근린공원,경기도 군포시 당정동 405-6번지 일원,경기도 군포시 고산로105번길 12,37.3494748,126.9586559,12770,,,,,,2008-12-31,군포시청,031-390-0734,2018-08-27
속달역사공원(속달지구),역사공원,경기도 군포시 속달동 35,경기도 군포시 속달로110번길 12-23,37.3364511,126.9096526,1904,,,,,,2008-02-04,군포시청,031-390-0734,2018-08-27
백합어린이공원,어린이공원,경기도 군포시 산본동 1063-1번지,경기도 군포시 산본동 1063-1번지,37.3676818,126.932952,2742,,,,,,1991-11-15,군포시청,031-390-0734,2018-08-27
어린이공원4호,어린이공원,경기도 군포시 산본동 105-17번지,경기도 군포시 산본동 105-17번지,37.3740093,126.9371507,4218,,,,,,2002-01-16,군포시청,031-390-0734,2018-08-27
능내어린이공원,어린이공원,경기도 군포시 산본동 1065-3번지,경기도 군포시 고산로643번길 10,37.3692415,126.9313339,1500,,,,,,1991-11-15,군포시청,031-390-0734,2018-08-27
도랫말어린이공원,어린이공원,경기도 군포시 당동 791,경기도 군포시 당동 791,37.349781,126.9411798,1597,,,,,,1995-05-19,군포시청,031-390-0734,2018-08-27
새마을어린이공원,어린이공원,경기도 군포시 당동 910,경기도 군포시 당동 910,37.3477296,126.9474655,2281,,,,,,1995-04-22,군포시청,031-390-0734,2018-08-27
교전어린이공원,어린이공원,경기도 군포시 당동 918,경기도 군포시 당동 918,37.3469822,126.9444459,1510,,,,,,1992-10-22,군포시청,031-390-0734,2018-08-27
백두어린이공원,어린이공원,경기도 군포시 산본동 1119-1번지 일원,경기도 군포시 산본동 1119-1번지 일원,37.3640581,126.9242585,1501,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
묘향어린이공원,어린이공원,경기도 군포시 산본동 1148-1번지,경기도 군포시 산본동 1148-1번지,37.3613309,126.9204684,10126,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
우륵어린이공원,어린이공원,경기도 군포시 산본동 1146-6번지,경기도 군포시 산본동 1146-6번지,37.3604195,126.9267771,1500,,,,,,1989-12-30,군포시청,031-390-0734,2018-08-27
한솔어린이공원,어린이공원,경기도 군포시 금정동 870-1,경기도 군포시 금정동 870-1,37.358605,126.9435705,1500,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
희망어린이공원,어린이공원,경기도 군포시 당동 859,경기도 군포시 당동 859,37.3561749,126.9417121,1873,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
무궁화어린이공원,어린이공원,경기도 군포시 금정동 849-3,경기도 군포시 금정동 849-3,37.358126,126.937164,1500,,,,,,1991-11-07,군포시청,031-390-0734,2018-08-27
충무어린이공원,어린이공원,경기도 군포시 금정동 872-1,경기도 군포시 금정동 872-1,37.3569532,126.9343882,1622,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
세종어린이공원,어린이공원,경기도 군포시 산본동 1145-17,경기도 군포시 산본동 1145-17,37.3584089,126.9276098,1519,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
한양어린이공원,어린이공원,경기도 군포시 산본동 1151-3,경기도 군포시 산본동 1151-3,37.3584382,126.9226387,1500,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
골안어린이공원,어린이공원,경기도 군포시 산본동 1066-1번지 일원,경기도 군포시 산본동 1066-1번지 일원,37.374182,126.9300695,1513,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
은혜어린이공원,어린이공원,경기도 군포시 금정동 80-1,경기도 군포시 금정동 80-1,37.3664979,126.9433343,1500,,,,,,1985-12-30,군포시청,031-390-0734,2018-08-27
밤골어린이공원,어린이공원,경기도 군포시 금정동 711-4,경기도 군포시 금산로7번길 34,37.3626071,126.9393005,2488,,,,,,1995-05-19,군포시청,031-390-0734,2018-08-27
산이슬어린이공원,어린이공원,경기도 군포시 부곡동 1207,경기도 군포시 부곡동 1207,37.3380881,126.9323283,2706,,,,,,2006-12-07,군포시청,031-390-0734,2018-08-27
하니어린이공원,어린이공원,경기도 군포시 금정동 759,경기도 군포시 금정동 759,37.3625118,126.9433734,1501,,,,,,1995-05-19,군포시청,031-390-0734,2018-08-27
동막골어린이공원,어린이공원,경기도 군포시 당동 734-2,경기도 군포시 당동 734-2,37.3574133,126.946163,1261,,,,,,1991-01-11,군포시청,031-390-0734,2018-08-27
효자어린이공원,어린이공원,경기도 군포시 당동 773-4,경기도 군포시 당동로18번길 27,37.351649,126.9433319,1597,,,,,,1997-08-02,군포시청,031-390-0734,2018-08-27
노산어린이공원,어린이공원,경기도 군포시 대야동 산1-166,경기도 군포시 대야동 산1-166,37.330777,126.914521,4381,,,,,,1996-08-14,군포시청,031-390-0734,2018-08-27
중앙공원,근린공원,경기도 군포시 산본동 1122번지 일원,경기도 군포시 광정로 96,37.3614765,126.9284874,40021,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
근린공원1(첨단산업단지),근린공원,경기도 군포시 부곡동 526번지 일원,경기도 군포시 부곡동 526번지 일원,37.3271618,126.9417707,10928,,,,,,2013-12-27,군포시청,031-390-0734,2018-08-27
한우물공원(당정2지구),근린공원,경기도 군포시 당정동 181번지 일원,경기도 군포시 공단로140번길 27,37.3581656,126.9523345,10000,,,,,,2011-12-15,군포시청,031-390-0734,2018-08-27
부곡공원,근린공원,경기도 군포시 부곡동 1087번지,경기도 군포시 부곡동 1087번지,37.3248059,126.937115,48912,,,,,,2003-06-20,군포시청,031-390-0734,2018-08-27
둔전공원,근린공원,경기도 군포시 산본동 1151-2번지 일원,경기도 군포시 산본동 1151-2번지 일원,37.3577092,126.9212127,37501,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
양지공원,근린공원,경기도 군포시 산본동 1153번지,경기도 군포시 번영로 407,37.3531854,126.9257593,24281,,,,,,2002-01-16,군포시청,031-390-0734,2018-08-27
매화어린이공원,어린이공원,경기도 군포시 산본동 1057-19번지,경기도 군포시 산본동 1057-19번지,37.3743479,126.9366988,1508,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
주몽어린이공원,어린이공원,경기도 군포시 산본동 1120-5번지 일원,경기도 군포시 산본동 1120-5번지 일원,37.3645033,126.9274098,1503,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
참그루소공원(당정2지구),소공원,경기도 군포시 당정동 181번지,경기도 군포시 공단로140번길 27,37.3581656,126.9523345,4548,,,,,,2011-12-15,군포시청,031-390-0734,2018-08-27
꽃아름소공원(당정2지구),소공원,경기도 군포시 당동 3번지,경기도 군포시 당동 3번지,37.3602261,126.9499808,5315,,,,,,2011-12-15,군포시청,031-390-0734,2018-08-27
오금공원,근린공원,경기도 군포시 금정동 871-6번지,경기도 군포시 금정동 871-6번지,37.3523042,126.9349702,10140,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
재궁공원,근린공원,경기도 군포시 금정동 850-2번지,경기도 군포시 오금로 123,37.358448,126.9395341,10288,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
초막골공원,근린공원,경기도 군포시 산본동 855번지 일원,경기도 군포시 산본동 855번지 일원,37.3545182,126.9191979,561500,,,,,,2002-01-16,군포시청,031-390-0734,2018-08-27
공원B,어린이공원,경기도 군포시 당동 782번지 일원,경기도 군포시 군포로510번길 30,37.3517695,126.9466997,3181,,,,,,2012-09-21,군포시청,031-390-0734,2018-08-27
옥천어린이공원,어린이공원,경기도 군포시 당동 873-1,경기도 군포시 당동 873-1,37.3454428,126.9435848,1500,,,,,,1994-09-08,군포시청,031-390-0734,2018-08-27
안골어린이공원,어린이공원,경기도 군포시 당동 763-27,경기도 군포시 당동 763-27,37.3514388,126.9411289,984,,,,,,1991-01-11,군포시청,031-390-0734,2018-08-27
앞산어린이공원,어린이공원,경기도 군포시 당동 900-1,경기도 군포시 군포로476번안길 8,37.3491272,126.9457716,2000,,,,,,1997-12-11,군포시청,031-390-0734,2018-08-27
참말어린이공원,어린이공원,경기도 군포시 당동 741,경기도 군포시 당산로 55,37.3565693,126.9449536,1490,,,,,,1995-05-19,군포시청,031-390-0734,2018-08-27
토오골어린이공원,어린이공원,경기도 군포시 당동 951-1,경기도 군포시 당동 951-1,37.3506918,126.9391837,2501,,,,,,1999-03-04,군포시청,031-390-0734,2018-08-27
방아어린이공원,어린이공원,경기도 군포시 당동 886-1번지 일원,경기도 군포시 당동 886-1번지 일원,37.345001,126.9469212,1850,,,,,,1994-09-08,군포시청,031-390-0734,2018-08-27
가야어린이공원,어린이공원,경기도 군포시 산본동 1155-2,경기도 군포시 산본동 1155-2,37.3514439,126.9245827,1529,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
소공원15,소공원,경기도 군포시 대야미동 598-3번지 일원,경기도 군포시 대야미동 598-3번지 일원,37.3176148,126.9129513,3225,,,,,,2013-12-27,군포시청,031-390-0734,2018-08-27
소공원16,소공원,경기도 군포시 당정동 1009-5번지,경기도 군포시 당정동 1009-5번지,37.344656,126.9490838,517,,,,,,2013-12-27,군포시청,031-390-0734,2018-08-27
소공원3(송정지구),소공원,경기도 군포시 도마교동 81-3번지,경기도 군포시 도마교동 81-3번지,37.3148541,126.9234776,4479,,,,,,2012-01-04,군포시청,031-390-0734,2018-08-27
소공원7(당정지구),소공원,경기도 군포시 당정동 51번지,경기도 군포시 경수대로 443,37.3628968,126.9594251,3138,,,,,,2010-09-09,군포시청,031-390-0734,2018-08-27
소공원8(당정지구),소공원,경기도 군포시 당정동 27-5번지,경기도 군포시 경수대로 441,37.3616031,126.9598322,4289,,,,,,2010-09-09,군포시청,031-390-0734,2018-08-27
소망공원1(산본3지구),소공원,경기도 군포시 산본동 1026-60번지 일원,경기도 군포시 산본동 1026-60번지 일원,37.3762682,126.9424327,1156,,,,,,2007-02-12,군포시청,031-390-0734,2018-08-27
희망공원2(산본3지구),소공원,경기도 군포시 산본동 1026-25번지 일원,경기도 군포시 산본동 1026-25번지 일원,37.3748736,126.942908,1248,,,,,,2007-02-12,군포시청,031-390-0734,2018-08-27
제1호어린이공원(송정지구),어린이공원,경기도 군포시 도마교동136번지 일원,경기도 군포시 도마교동 136번지 일원,37.318479,126.921094,3088,,,,,,2014-06-16,군포시청,031-390-0734,2018-08-27
반월호수공원,수변공원,경기도 군포시 둔대동 354-3번지 일원,경기도 군포시 둔대동 354-3번지 일원,37.3246888,126.8902019,8973,,,,,,2009-01-29,군포시청,031-390-0734,2018-08-27
공원17(송정지구),근린공원,경기도 군포시 도마교동 77-4번지 일원,경기도 군포시 도마교동 77-4번지 일원,37.3173228,126.9232314,11794,,,,,,2007-12-24,군포시청,031-390-0734,2018-08-27
궁내공원,근린공원,경기도 군포시 산본동 1119-5번지,경기도 군포시 산본동 1119-5번지,37.3651521,126.9218235,10031,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
